Sezione 1 ;Sezione 2 ;Domanda;Sotto domanda;Risposta 
Alloggi on campus ;Disponibilità di alloggi in corso d'anno;Non ho partecipato alle assegnazioni regolari: posso comunque trovare un alloggio durante l'anno?;Non ho partecipato alle assegnazioni regolari: posso comunque trovare un alloggio durante l'anno?;"Se non hai prenotato il tuo alloggio in una delle opportunità di assegnazione regolari, puoi comunque verificare eventuali disponibilità di alloggio durante l'anno accademico, partecipando alle diverse sessioni di Open reservation che verranno messe a disposizione degli studenti. 

 

Saranno disponibili le seguenti application:

 

Tariffa Intera

> Tariffa intera annuale
(assegnazioni terminate, si prega di fare riferimento all Open reservation MENSILI)

> Open reservation mensili (https://www.unibocconi.it/wps/wcm/connect/bocconi/sitopubblico_it/albero+di+navigazione/home/corsi+di+studio/studenti+iscritti/servizi/alloggi+on+campus/domanda+alloggio/2023-24+open+reservation+mensili)
da metà settembre 2023


Tariffa Agevolata

> Open reservation - sessione di recupero (https://bit.unibocconi.it/hc/it/articles/8878200426258) "
Alloggi on campus ;Disponibilità di alloggi in corso d'anno;Open reservation mensili a.a. 2023-24;Open reservation mensili a.a. 2023-24;Le Open reservation mensili sono assegnazioni residuali degli alloggi, aperte a tutti gli studenti Bocconi regolarmente iscritti all'a.a. 2023-24 e si svolgeranno regolarmente in base alla disponibilità di camere, allo scopo di soddisfare il più possibile la richiesta di alloggio da parte degli studenti anche in corso d'anno. Solo gli studenti realmente interessati a prendere possesso di una camera sono invitati a presentare domanda in questa fase in modo da non limitare o esaurire la possibilità di scelta per altri studenti.
Alloggi on campus ;Disponibilità di alloggi in corso d'anno;;"Requisiti
";"Possono presentare richiesta di nuova ammissione in alloggio Open reservation mensili tutti gli studenti Bocconi regolarmente iscritti per l'a.a. 2023-24 a: 

un corso di laurea, laurea magistrale a ciclo unico, laurea magistrale o Dottorato di ricerca;

programmi master Universitari, master SDA Bocconi;

Double Degree;

Corsi singoli.

indipendentemente dalla residenza anagrafica, dal merito accademico, dall’anno di corso di iscrizione e dalla situazione economica della famiglia.

Non possono invece presentare domanda di nuova ammissione in alloggio Open reservation mensili:

gli studenti già assegnatari di alloggio per l’a.a. 2023-24;

gli studenti che in qualunque anno accademico siano incorsi nella revoca per ritardato pagamento o per violazione del Regolamento Residenze Bocconi qualora sia stata disposta dall’Università anche la non idoneità ad usufruire del Servizio Alloggi per tutto il ciclo di studi."
Alloggi on campus ;Disponibilità di alloggi in corso d'anno;;Calendario ;"Le sessioni di Open reservation mensili si svolgeranno a partire da metà settembre 2023 in base alle date riportate sulla pagina dedicata del sito, che verranno aggiornate con le date successive di volta in volta in base alla disponibilità di posti.

 

Apertura domanda online


Pagina web dedicata - sessioni disponibili



Le date delle sessioni successive verranno riportate sulla stessa pagina. Lo svolgimento di ciascuna sessione sarà confermato entro la sera del giorno precedente allo svolgimento della sessione stessa, in base alla disponibilità di posti."
Alloggi on campus ;Disponibilità di alloggi in corso d'anno;;Periodo di assegnazione;"Le Open reservation mensili sono sempre valide a partire dal primo giorno del mese successivo rispetto a quello in cui la prenotazione viene effettuata(es: se la domanda viene presentata e accettata nel mese di ottobre si potrà prendere possesso della camera a partire il primo novembre) se non diversamente specificato nella data indicata di fianco alla tipologia di camera prescelta all'interno dell'application.

Durante la compilazione della domanda si dovrà indicare il numero di mesi di permanenza nella residenza, che, ricordiamo, devono essere interi.

Nota bene: Una volta terminato il periodo di assegnazione non sarà possibile rinnovarlo, nel caso in cui si necessiti di più tempo sarà necessario presentare nuovamente la domanda per verificare le disponibilità."
Alloggi on campus ;Disponibilità di alloggi in corso d'anno;;Tipologie di camera;"In ogni sessione di Open reservation mensili saranno messe a disposizione unicamente le camere non precedentemente prenotate e assegnate, quindi è possibile che non tutte le residenze e/o non tutte le tipologie di camera all'interno di una residenza siano disponibili.

Prima di presentare domanda ti invitiamo a verificare le Residenze Bocconi e le varie tipologie di camera consultando le sezioni del sito dedicate: in questo modo avrai già idea delle residenze/tipologie di camere che potranno soddisfare le tue esigenze e che vorresti prenotare, se disponibili."
Alloggi on campus ;Disponibilità di alloggi in corso d'anno;;Tariffe applicate;"Partecipando alle Open reservation mensili potrai prenotare la tipologia di camera che preferisci tra quelle che risulteranno disponibili al momento del tuo accesso alla domanda online.

La tariffa applicata sarà quella relativa alla tipologia di camera che hai scelto e confermato — visibile al momento della selezione in application.


Nota bene:

Le Open reservation MENSILI sono esclusivamente a tariffa intera. Gli studenti interessati alla tariffa agevolata dovranno fare esclusivamente riferimento alla Open reservation - sessione di recupero."
Alloggi on campus ;Disponibilità di alloggi in corso d'anno;;Come presentare domanda Open reservation mensili;"Prima di accedere alla domanda prendi visione dei documenti utili (Regolamento Residenze Bocconi a.a. 2023-24 e Informativa privacy) disponibili al seguente link.

Tieni a portata di mano le credenziali di accesso, cerca una connessione internet veloce e utilizza un unico dispositivo per accedere alla domanda online nel momento dell’apertura. All’apertura della domanda online, segui tutti i passaggi previsti:


> ACCEDI al link all'orario di apertura indicato: ti troverai in una ""waiting room"" virtuale. Quando arriva il tuo turno, accedi inserendo le credenziali Bocconi (matricola/username e password).

> ENTRA NELLA SEZIONE ""Accommodation choice""

> SELEZIONA LA RESIDENZA

Se non visualizzi alcuna opzione significa che i posti disponibili sono esauriti.

> SELEZIONA LA TIPOLOGIA DI CAMERA

Se non visualizzi alcuna opzione significa che i posti disponibili sono esauriti.

> CLICCA SU ""SAVE"" (salva) in fondo alla sezione

Se non riesci a cliccare significa che i posti disponibili sono esauriti.

> CLICCA SU ""CONFERMA DATI / SUBMIT DATA"" (conferma dati)

Se non riesci a cliccare significa che i posti disponibili sono esauriti.

La prenotazione è andata a buon fine esclusivamente se il pulsante rosso ""Conferma dati /Submit data"" non è più visibile e al suo posto compare la scritta: ""Hai confermato i dati il gg/mm/aaaa"".


> CARICA I DOCUMENTI E INOLTRA LA DOMANDA

Procedi entro le ore 23:59 del giorno stesso al caricamento di tutti i documenti disponibili in application da stampare, firmare a mano e caricare negli appositi spazi upload e al pagamento del deposito cauzionale. Clicca su ""Inoltra domanda/ Submit application"" entro le ore 23.59.

L'ufficio verificherà che la tua prenotazione sia andata a buon fine e it darà un esito attraverso MyApplication nei giorni successivi.


Attenzione

Se non sei riuscito a cliccare su ""Save"" in fondo alla sezione, significa che i posti disponibili sono terminati. Procedi a selezionare una nuova tipologia di camera e/o Residenza;

Se sei riuscito a selezionare una Residenza e tipologia di camera e a salvare la sezione, ma al momento del ""Submit data"" (conferma dati) un altro utente ha occupato l’ultimo posto disponibile per la Residenza e/o tipologia da te selezionata, il bottone rosso “Submit data” (conferma dati) rimane visibile: questo significa che, anche sei hai già espresso e salvato una preferenza nella sezione ""Residenza e tipologia camera"", la tua prenotazione non è andata a buon fine per mancanza di posti.

Per questo motivo non sei stato in grado di confermare i dati, e dovrai quindi:

rientrare nella sezione ""Residenza e tipologia camera"";
procedere a selezionare una nuova opzione;
salvare nuovamente i dati nella sezione cliccando su “SAVE”;
riprovare a confermare i dati per la nuova selezione, cliccando sul bottone rosso “Submit data” (conferma dati).
Se nel cercare una nuova opzione da selezionare tutti i posti disponibili fossero già esauriti, il sistema continuerebbe a farti visualizzare, nella sezione ""Residenza e tipologia camera"", la tua selezione originaria: questo NON significa che la prenotazione sia andata a buon fine."
Alloggi on campus ;Disponibilità di alloggi in corso d'anno;;Come caricare correttamente i documenti;"È necessario stampare tutti i documenti, firmarli a mano con firma leggibile e caricarli con tutte le pagine nell’apposita sezione entro e non oltre la scadenza della domanda.

Per terminare la domanda è necessario cliccare sul pulsante ""Submit application"" (Inoltra domanda) dopo aver provveduto al pagamento del deposito cauzionale di 500 euro e all'upload di tutti i documenti richiesti e disponibili all'interno della domanda online."
Alloggi on campus ;Disponibilità di alloggi in corso d'anno;;Accettazione alloggio;"Dopo aver inoltrato la domanda, l'Ufficio verificherà la tua posizione e la correttezza dell'application da te inoltrata. Nei giorni successivi visualizzerai in MyApplication l'esito della tua domanda, che contiene le istruzioni da seguire per accettare l'alloggio.

L'accettazione da parte dello studente entro il termine stabilito sarà indispensabile per confermare l'assegnazione alloggio per l'a.a. 2023-24 e consisterà nella firma del documento ""Accettazione alloggio"" disponibile in MyApplication dopo l'esito. In mancanza di accettazione alloggio, la prenotazione verrà cancellata e lo studente decadrà dall'assegnazione dell'alloggio.

Dopo l'accettazione alloggio non sarà possibile annullare l'assegnazione, che sarà valida per l'intero periodo di assegnazione così come accettato dallo studente, che si impegna al pagamento dell'intera retta alloggi prevista per l'anno accademico di riferimento. Sono previste alcune casistiche di rinuncia e recesso, dettagliate sulla pagina dedicata del sito (link): si prega di prenderne attenta visione."
Alloggi on campus ;Disponibilità di alloggi in corso d'anno;;Passi successivi;"Documentazione per attestare l'assegnazione alloggio
Durante tutto l'anno accademico, l'esito della tua domanda online resterà visibile in MyApplication: potrai stamparlo o scaricarlo in pdf se it servirà attestare la permanenza in alloggio, infatti l'esito contiene tutte le informazioni generalmente necessarie a questo scopo (nome e indirizzo della residenza, periodo di assegnazione, prezzo dell'alloggio assegnato).
Cambio camera
Per tutto il periodo in cui lo studente è ospite di una residenza Bocconi non è consentito il cambio camera. È invece facoltà dell’Università Bocconi trasferire l’ospite anche in corso d’anno in altra struttura abitativa alla tariffa prevista per la residenza di destinazione.
Check-in e pagamenti
Se hai ottenuto e accettato l'assegnazione di un alloggio, verifica le informazioni relative al pagamento della prima rata della retta alloggi a.a. 2023-24, al check-in online e alla vita in residenza.
Rinnovo dell'assegnazione
L’assegnazione dell’alloggio per l’a.a. 2023-2024 viene concessa per il solo anno accademico di presentazione della domanda, non è pertanto automaticamente concessa per gli anni accademici successivi ma costituisce responsabilità dello studente verificare l’eventuale possibilità di conferma e provvedere alle successive domande di assegnazione nei modi che saranno previsti dai Bandi di Concorso alloggi di ciascun anno accademico di interesse.
Attenzione
Gli studenti assegnatari di alloggio per i quali fosse successivamente accertata la mancata regolare immatricolazione/iscrizione all’a.a. 2023-24 perdono il diritto di idoneità ad usufruire del Servizio Alloggi per l’a.a. 2023-2024. L’avvenuta assegnazione sarà cancellata d’ufficio e gli studenti saranno tenuti a lasciare immediatamente l’alloggio assegnato. Si specifica che i pagamenti dovuti rimarranno a carico dello studente anche in caso di cancellazione dell’assegnazione. Per tale motivo si invitano gli studenti a porre particolare attenzione, prima di presentare domanda di alloggio, alle disposizioni in tema di cancellazione specificate sulla pagina dedicata del sito.

Ai fini dell’accertamento della veridicità delle informazioni fornite l’Università Bocconi si avvarrà delle facoltà previste dalle vigenti disposizioni di legge."
Alloggi on campus ;Disponibilità di alloggi in corso d'anno;Open reservation - confermare, modificare e cancellare la prenotazione;Open reservation - confermare, modificare e cancellare la prenotazione;"Se hai prenotato un alloggio in una sessione di Open reservation e desideri confermare la tua prenotazione, ricorda che la conferma della prenotazione dovrà avvenire entro le ore 23.59 della sera stessa. Procedi come indicato di seguito:

Stampa, firma a penna e con firma leggibile, scansiona e carica negli spazi dedicati tutti i documenti che troverai in application
Procedi al versamento del deposito cauzionale di 500 euro seguendo le istruzioni e carica la ricevuta di avvenuto pagamento
Clicca su ""Inoltra domanda""
 
Se ricevi notifiche relative a documenti mancanti o non conformi
Stampa una nuova copia dei documenti che devi integrare, compilala, firmala come richiesto e caricala nella sezione “Documenti integrativi”. Attenzione: ti consigliamo di procedere a questa operazione da computer, il caricamento tramite cellulare può infatti dare problemi. Se hai difficoltà, prova a cambiare browser.

 
Se riscontri difficoltà con il pagamento del deposito cauzionale
Non preoccuparti, se caricherai i documenti entro le 23.59 della sera stessa la prenotazione sarà comunque confermata: tuttavia è necessario fornire copia della ricevuta del pagamento del deposito cauzionale. Se anche cambiando browser riscontri problemi nel pagamento tramite Paytool, puoi effettuare un bonifico bancario, utilizzando le seguenti coordinate:

 

Causale: ""Deposito alloggi"" - Cognome - Nome – Matricola
Beneficiario: Università Bocconi
Banca Popolare di Sondrio - Ag. 11 - Via Bocconi 8 - 20136 Milano
IBAN: IT55 E056 9601 6100 0000 2000 X88
SWIFT CODE: POSOIT22MIL

 
Se avevi già versato in precedenza un altro deposito cauzionale
Non è necessario versare un nuovo deposito, ma solo se la precedente assegnazione è avvenuta nel corso del medesimo anno accademico e se non ti è ancora stata rimborsata: in questo caso puoi caricare la copia della precedente ricevuta, l’ufficio ne verificherà la conformità. Se invece avevi già ottenuto il rimborso del precedente deposito cauzionale, è necessario provvedere a un nuovo versamento.

 
Modifica/cancellazione della prenotazione
Dopo aver confermato la prenotazione di un alloggio, non è possibile cancellare la prenotazione nè modificare il periodo della stessa. Ciò significa che non potrai richiedere di estendere il tuo periodo di permanenza oltre il termine indicato in fase di conferma assegnazione, né richiedere di anticipare il termine della tua assegnazione.

Naturalmente potrai disporre dell'alloggio a tuo piacimento durante tutto il tuo periodo di assegnazione, eventualmente anche lasciando l'alloggio in anticipo. Dal punto di vista amministrativo, tuttavia, l'alloggio risulterà formalmente assegnato a te e sarai tenuto al pagamento della retta alloggi per tutto il periodo dell'assegnazione.

Nota bene: anche per le prenotazioni Open resta ferma la possibilità di fare riferimento alle norme previste per il recesso, valide per tutti gli assegnatari di alloggio in residenza e dettagliate sulla pagina dedicata del sito."
